id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay,arrival_delay,satisfaction,satisfied_or_no
19556,Female,"Loyal Customer",52,"Business travel",Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,"satisfied",1
90035,Female,"Loyal Customer",36,"Business travel",Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,"satisfied",1
12360,Male,"disloyal Customer",20,"Business travel",Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,"neutral or dissatisfied",0
77959,Male,"Loyal Customer",44,"Business travel",Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,"satisfied",1
36875,Female,"Loyal Customer",49,"Business travel",Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,"satisfied",1
39177,Male,"Loyal Customer",16,"Business travel",Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,"satisfied",1
79433,Female,"Loyal Customer",77,"Business travel",Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,"satisfied",1
97286,Female,"Loyal Customer",43,"Business travel",Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,"satisfied",1
27508,Male,"Loyal Customer",47,"Business travel",Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,"satisfied",1
62482,Female,"Loyal Customer",46,"Business travel",Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,"satisfied",1
47583,Female,"Loyal Customer",47,"Business travel",Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,"satisfied",1
115550,Female,"Loyal Customer",33,"Business travel",Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,"neutral or dissatisfied",0
119987,Female,"Loyal Customer",46,"Business travel",Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,"satisfied",1
42141,Female,"Loyal Customer",60,"Business travel",Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,"satisfied",1
2274,Female,"Loyal Customer",52,"Business travel",Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,"satisfied",1
22470,Male,"Loyal Customer",50,"Personal Travel",Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,"neutral or dissatisfied",0
124915,Female,"Loyal Customer",31,"Business travel",Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,"neutral or dissatisfied",0
17836,Male,"Loyal Customer",52,"Personal Travel","Eco Plus",1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,"satisfied",1
76872,Female,"Loyal Customer",43,"Personal Travel",Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,"neutral or dissatisfied",0
64287,Female,"Loyal Customer",50,"Business travel",Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,"satisfied",1
63995,Male,"Loyal Customer",60,"Business travel",Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,"satisfied",1
75855,Male,"Loyal Customer",43,"Personal Travel",Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,"neutral or dissatisfied",0
106181,Male,"Loyal Customer",55,"Personal Travel",Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,"neutral or dissatisfied",0
44304,Male,"Loyal Customer",25,"Business travel",Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,"satisfied",1
82602,Female,"disloyal Customer",30,"Business travel",Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,"neutral or dissatisfied",0
7823,Male,"Loyal Customer",62,"Personal Travel",Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,"neutral or dissatisfied",0
127781,Male,"Loyal Customer",24,"Business travel",Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,"satisfied",1
34501,Female,"Loyal Customer",22,"Business travel",Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,"satisfied",1
121658,Male,"Loyal Customer",44,"Business travel",Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,"satisfied",1
20219,Male,"Loyal Customer",51,"Business travel",Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,"neutral or dissatisfied",0
67551,Male,"Loyal Customer",43,"Personal Travel",Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,"neutral or dissatisfied",0
48994,Female,"Loyal Customer",56,"Business travel",Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,"satisfied",1
70811,Male,"disloyal Customer",41,"Business travel",Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,"neutral or dissatisfied",0
75241,Male,"Loyal Customer",22,"Personal Travel",Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,"neutral or dissatisfied",0
12312,Female,"Loyal Customer",53,"Business travel",Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,"satisfied",1
48372,Male,"Loyal Customer",12,"Personal Travel",Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,"neutral or dissatisfied",0
51477,Female,"Loyal Customer",39,"Business travel",Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,"satisfied",1
